,id,size
491,139963259,565
492,139673759,999
493,139773776,1538
494,131951939,518
495,135673475,457
496,139845782,752
497,137679749,861
498,139559153,723.3
499,139851125,553
500,135332348,430
501,139794233,982
502,135187541,721
503,139964882,723
504,136870208,807.3
505,139915334,1139
506,139652330,925
507,139961537,665
508,139207511,500
509,136460912,640
510,138250925,1521
511,139822046,669.95
512,138841511,1047
513,139806806,
514,139866227,666
515,135905477,700.7
516,139860884,987
517,139126067,717
518,139738763,526
519,136325840,658
520,139865348,1243
521,139267697,
522,138834017,609
523,139963295,451
524,138775916,459
525,86038605,779
526,136395440,520.43
527,139797902,494
528,137940389,
529,138118124,818
530,138345518,739
531,131800421,902
532,138195302,773
533,138118049,818
534,139528091,1175
535,139564202,514
536,137908067,520
537,136076756,624
538,139640531,507
539,138074903,771.8
540,139579745,531
541,139576172,599
542,136090364,453
543,139565183,833
544,136247903,931
545,139660760,849
546,139794428,532
547,139616096,1781
548,139524800,165.3
549,139806290,524
550,138577988,655
551,139956707,834
552,137940419,
553,138663479,531
554,134413094,
555,136580567,671
556,139582505,561
557,137997440,917
558,139885952,725
559,139778957,483
560,139559213,1171
561,138549389,441
562,139884410,839
563,139559249,1089.3
564,139866098,879
565,139700240,770
566,139734284,693
567,136311713,600
568,139558400,355.1
569,139863155,605.0
570,139719332,1454
571,139858547,11
572,138087275,717
573,139937216,1120
574,139776683,790
575,136857998,
576,86118873,657
577,135278933,563
578,137966810,1037
579,138455297,790
580,138920330,355.2
581,121535747,360
582,139537775,487
583,137824079,548
584,139877945,459
585,138385244,939
586,139562846,1083
587,139845707,470
588,139938548,
589,135242657,600
590,138710219,831
591,134000546,482
592,139721417,646
593,139651127,861
594,139970132,778
595,139695125,126.9
596,138624707,551
597,138006317,773
598,139368611,662
599,139629971,688
600,139917113,86
601,132635201,1030
602,138413684,
603,139864265,863.3
604,135145871,476.8
605,138996608,
606,139063397,442
607,138550967,743
608,137635322,607
609,130634438,537
610,139640900,753
611,139788533,433.7
612,139778714,453.7
613,139705433,077.4
614,139458659,586.6
615,138549353,
616,132398486,
617,139894196,882
618,139583030,545
619,133856822,
620,139947173,758
621,139921547,573
622,139708823,498
623,139791341,826
624,139128680,336
625,139687727,801
626,128589020,440
627,139922246,846
628,139547300,718
629,139871960,990
630,134458643,695
631,138789539,621
632,138921404,581
633,131198102,757.7
634,130628018,517
635,139700648,920
636,138947312,471
637,139823330,428
638,139564007,3
639,139080038,595
640,139829045,583
641,139773893,509
642,139826672,557
643,139934204,536
644,134776445,458
645,139852136,692
646,139778558,510
647,139651202,1078
648,139130195,888
649,139843928,462
650,139769348,462
651,139866557,1077
652,139731209,948
653,86225028,491
654,139534817,2259
655,138426485,
656,139855199,684.5
657,139504268,1476
658,139537517,830
659,139878872,640
660,139080155,799
661,86027244,773
662,139054295,422
663,138549293,728
