,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
562,136085606,"£350,000",Reduced on 07/09/2023,"Approach Road, London, SW20","A spacious one bedroom first floor flat with potential for a loft conversion (STPP). Situated close to Raynes Park District Line Station and shopping parade, the flat is surprisingly spacious comprising a front aspect living room, rear aspect double bedroom and separate rear aspect kitchen. ...",Apartment,1,1,,Share of Freehold,"['Potential for loft extension (STPP)', 'Share of Freehold', 'Double Bedroom', 'Spacious Living Room', 'Modern fitted kitchen', 'Family bathroom', 'First floor', 'New lease extension on completion', 'Low outgoings', 'Council tax band C - £1,583.00']","[['Raynes Park ', '0.1 miles'], ['Wimbledon Chase ', '0.6 miles'], ['Motspur Park ', '1.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
563,138412190,"£575,000",Reduced on 07/09/2023,"Jolly Mews, Streatham","Guide Price £575,000 - £625,000. Laurels are delighted to present thisfantastic, modern four-bedroom familyhome in Streatham.The property is immaculately presentedthroughout and is located in a privatedevelopment which has a great communityand is surrounded by an abundance ofoutdo...",Terraced,3,4,,Freehold,"['Excellent Transport Links To London Victoria In 18 Minutes ', 'Large Private Rear Garden', 'Communal Green Space In Private Development', 'Close to Outstanding Schools ', 'Early Viewings Highly Recommended', 'Two Allocated Parking Spaces', 'Numerous Local Amenities', 'No Onward Chain']","[['Mitcham Eastfields ', '0.6 miles'], ['Streatham Common ', '0.9 miles'], ['Norbury ', '1.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E
564,139624508,"£800,000",Added on 07/09/2023,"Shelgate Road, SW11","An impressive two-bedroom property with a large south-facing garden. Located ""Between the Commons” on a very popular, quiet road. No Chain.",Flat,1,2,706 sq. ft.(66 sq. m.),Leasehold,"['Two bedrooms', 'One modern bathroom', 'Large south-facing garden', 'Spacious kitchen/dining area with wood flooring', 'No chain', 'Popular, quiet road', 'Clapham Junction is a five minute walk away', 'Northcote Road, Clapham and Wandsworth Commons are a short walk away', 'Honeywell and Belleville Primary Schools are close by', 'Separate reception room']","[['Clapham Junction ', '0.3 miles'], ['Wandsworth Common ', '0.9 miles'], ['Wandsworth Town ', '0.9 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,161 years left,Ask agent
565,139623212,"£435,000",Added on 07/09/2023,"Vant Road, London, SW17","A charming ground floor two bedroom conversion, conveniently located for Tooting Broadway. The flat benefits from a beautiful front open plan kitchen/reception room with bay window and a breakfast bar, two generous double bedroom, one with built in wardrobes and one with French doors accessing th...",Apartment,1,2,,Leasehold,[],"[['Tooting Broadway ', '0.3 miles'], ['Tooting ', '0.4 miles'], ['Tooting Bec ', '0.7 miles']]","['underground', 'nationalrail', 'underground']",£0 per year,£0,Ask agent,Band: TBC
566,139212188,"£300,000",Reduced on 07/09/2023,"Palace Road, London, SW2","A lovely two bedroom purpose-built apartment set on the sixth floor of this well-maintained block. The property comprises two bedrooms, an open-plan kitchen/reception room leading to a private balcony, family bathroom and well-kept communal grounds. Palace Road is a well-reg...",Apartment,1,2,,Share of Freehold,"['Two bedrooms', 'Private balcony', 'Far reaching views', 'Good transport links', 'Sixth Floor', 'Lift access']","[['Streatham Hill ', '0.4 miles'], ['Tulse Hill ', '0.7 miles'], ['West Norwood ', '1.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
567,139623050,"£435,000",Added on 07/09/2023,"The High, Streatham High Road, Streatham",A wonderful example of the ART-DECO MANSION FLATS on Streatham High Road. The property has close to 900 SQUARE FEET OF INTERNAL SPACE and is just moments from STREATHAM HILL STATION.,Flat,1,2,,Leasehold,"['Large two bedroom apartment in a popular Art-Deco mansion block', 'Close to Streatham Hill station', 'Almost 900 sq ft of living space', 'Impressive art-deco communal hallway', 'Lift and building caretaker ', 'Communal garden and bike shed', 'Well managed building', 'Long lease - 113 years ', 'Shops, bars and restaurants on doorstep']","[['Streatham Hill ', '0.2 miles'], ['Streatham ', '0.6 miles'], ['Tulse Hill ', '1.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
568,139622408,"£725,000",Added on 07/09/2023,"Commonside East, Mitcham",*** Open Day 16.9.2023*** A Rare Semi-Detached Larger than Average 4 Bedroom extended Family home in great condition situated on a sought after quiet residential road opposite the ever green Mitcham Common.,Semi-Detached,1,4,,Freehold,"['Semi - detached', '10 minute walk from Mitcham East field train station', 'Opposite the Common', 'Great size', 'Driveway']","[['Mitcham Eastfields ', '0.4 miles'], ['Mitcham Junction ', '0.6 miles'], ['Mitcham Tram Stop0.8 miles']]","['nationalrail', 'nationalrail', 'tramlink']",Ask agent,Ask agent,Ask agent,Band: D
569,139622393,"£895,000",Added on 07/09/2023,"Raymond Road, London, SW19",Wonderfully light and spacious three bedroom ground floor apartment close to Wimbledon Village. A wonderfully light and spacious three double bedroom apartment which has been completely redesigned and refurbished to offer bright and spacious living accommodation. The apartment is located in this...,Flat,1,3,,Share of Freehold,"['3 bedrooms', '1 reception room', '1 bathroom', 'Period', 'Communal Garden', 'Ground Floor', 'Parking', 'Single Garage', 'Town/City', 'Private Parking']","[['Wimbledon ', '0.3 miles'], ['Dundonald Road Tram Stop0.4 miles'], ['Merton Park Tram Stop0.8 miles']]","['nationalrail', 'tramlink', 'tramlink']",£0 per year,£5055.56,Ask agent,Band: E
570,139622387,"£750,000",Added on 07/09/2023,"Eastwood Street, Furzedown, SW16","An extended three bedroom house located on a popular street in Furzedown. Highlights on the ground floor include a two reception rooms, a ground floor cloakroom and a well-appointed kitchen that leads out to a private south facing garden. The first floor offers two bedrooms and a family bathroom,...",Terraced,3,3,,Freehold,[],"[['Streatham Common ', '0.4 miles'], ['Tooting ', '0.7 miles'], ['Streatham ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: TBC
571,139622318,"£450,000",Added on 07/09/2023,Streatham Hill London SW2,"Split over the ground and first floors with its own private garden, Acorn is delighted to present this this super spacious house-like split level apartment.",Flat,1,4,,Leasehold,"['Four Bedrooms ', 'Split Level ', 'Private Garden ', 'Parking ', 'Gas Central Heating ', 'Close to Transport ', 'Tones of Storage ', 'EPC Rating C ', 'London Borough Of Lambeth Band C']","[['Streatham Hill ', '0.4 miles'], ['Tulse Hill ', '0.9 miles'], ['Balham ', '1.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
