,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
494,138802304,"£280,000",Reduced on 07/09/2023,"Canterbury Road, Croydon, CR0","Well-presented throughout, this fantastic first floor 2 bedroom apartment benefits from a spacious open-plan reception room with modern kitchen, double bedrooms, stylish bathroom and off-street parking.",Flat,,2,635 sq. ft.(59 sq. m.),Leasehold,"['Fantastic first floor 2 bedroom apartment', 'Spacious open-plan reception room', 'Modern kitchen', 'Well-sized double bedrooms', 'Stylish bathroom', 'Allocated parking space', 'Excellent location close to the amenities within West Croydon']","[['Ampere Way Tram Stop0.5 miles'], ['Waddon Marsh Tram Stop0.7 miles'], ['Therapia Lane Tram Stop0.7 miles']]","['tramlink', 'tramlink', 'tramlink']",£250 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£300,112 years left,Ask agent
495,138122972,"£650,000",Reduced on 07/09/2023,"Wrights Road, London, SE25","A magnificent, bright, and spacious, four-bedroom, three reception room, end-of-terraced home situated in the popular and much sought-after Grangewood Park location. Having almost doubled in size with a two-storey side extension, this outstanding residence provides over 1,500 square fe...",End of Terrace,2,4,,Freehold,"['Four bedroom house', 'Three reception rooms', 'Two bathrooms', 'Considerable accommodation', 'Off-street parking', 'Popular location']","[['Norwood Junction ', '0.6 miles'], ['Thornton Heath ', '0.7 miles'], ['Selhurst ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
496,139635380,"£280,000",Added on 07/09/2023,"Beeches Close, Penge","Well presented one bedroom floor flat located in a quiet residential cul de sac. Offering lots of natural light throughout, open plan living with a modern fitted kitchen and also comes with one allocated parking space.",Flat,1,1,,Share of Freehold,"['Second floor', 'Allocated parking space', 'Open plan living', 'Close to transport links', 'One double bedroom', 'Bathroom', 'Storage', 'EPC rating C']","[['Anerley ', '0.3 miles'], ['Birkbeck ', '0.4 miles'], ['Avenue Road Tram Stop0.5 miles']]","['nationalrail', 'nationalrail', 'tramlink']",Ask agent,Ask agent,Ask agent,Ask agent
497,139635146,"£600,000",Added on 07/09/2023,"Castledine Road, London, SE20","The property, which has been recently renovated to a fantastic standard, comprises; three bedrooms with two bathrooms, open plan kitchen/living space and private garden. The property has been well thought through and not only offers new fittings throughout, but ones that are tasteful and bespoke....",End of Terrace,2,3,,Share of Freehold,"['Three bedrooms', 'Two bathrooms', '875 Sq Ft', 'Private garden', 'Recently renovated', 'Close to local amenities and transport links', 'EPC rating C', 'Share of Freehold']","[['Anerley ', '0.1 miles'], ['Penge West ', '0.3 miles'], ['Crystal Palace ', '0.4 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£0 per year,£0,Ask agent,Band: TBC
498,139634342,"£300,000",Added on 07/09/2023,"18 Chatsworth Road, Croydon","Marriott Vernon present to the market this stunning newly refurbished, chain free top floor 2 bedroom apartment on a sought after residential road close to East Croydon Station with share of freehold. This beautifully presented property comprises entrance hall with storage and utility c...",Flat,1,2,,Share of Freehold,"['Two Bedroom Top Floor Apartment', 'Purpose Built Block', 'Share Of Freehold', 'Garage En-Bloc', 'Communal Gardens', '1/2 A Mile From East Croydon Station', 'Refurbished By The Current Owner', 'No Onward Chain']","[['South Croydon ', '0.4 miles'], ['George Street Tram Stop0.4 miles'], ['East Croydon ', '0.4 miles']]","['nationalrail', 'tramlink', 'nationalrail']",£0 per year,£1535.05,972 years left,Band: C
499,139633826,"£500,000",Added on 07/09/2023,"Strathyre Avenue, London","This three-bedroom family home retains much of its original character & charm, it still has an original servants bell pull screen and a lovely original screen in the entrance hall. It is much larger than average and retains much of its original character & charm. To the front is ample off-street ...",Terraced,1,3,,Freehold,"['Three-bedroom family home', 'Ample off street parking', 'Spacious entrance hall', 'Two large double bedrooms', 'Large garden', 'Early viewing advised', 'Council tax band E', 'EPC rating C']","[['Norbury ', '0.6 miles'], ['Thornton Heath ', '0.8 miles'], ['Therapia Lane Tram Stop1.3 miles']]","['nationalrail', 'nationalrail', 'tramlink']",Ask agent,Ask agent,Ask agent,Ask agent
500,137518925,"£320,000",Reduced on 04/09/2023,"Inglis Road, Addiscombe","Immaculate two-bedroom split-level flat in the heart of Addiscombe offers modern living in a historic Victorian building, complete with a private garden and a share of the freehold, presented chain-free.",Flat,1,2,,Share of Freehold,"['Two spacious double bedrooms', 'Modern kitchen and bathroom', 'Stylish designer radiators', 'Elegant plantation shutters', 'Private, secluded garden', 'Share of freehold', 'No onward chain', 'Prime Addiscombe location']","[['Addiscombe Tram Stop0.1 miles'], ['Sandilands Tram Stop0.4 miles'], ['Blackhorse Lane Tram Stop0.4 miles']]","['tramlink', 'tramlink', 'tramlink']",Ask agent,Ask agent,Ask agent,Ask agent
501,138475856,"£475,000",Reduced on 07/09/2023,"Lavender Road, Croydon, CR0","Coming to the market is this four bedroom mid-terrace home, situated on a residential road with off-street parking and a double garage to the rear. The property comprises an entrance hall which leads to a good-sized reception room and then a second reception room which has been extende...",Terraced,1,4,,Freehold,"['Mid-terrace house', 'Off-street parking', 'Four bedrooms', 'Downstairs WC', 'Double garage', 'Good-sized rear garden', 'Close to transport links, schools and amenities', 'No onward chain']","[['Therapia Lane Tram Stop0.3 miles'], ['Ampere Way Tram Stop0.5 miles'], ['Beddington Lane Tram Stop0.8 miles']]","['tramlink', 'tramlink', 'tramlink']",Ask agent,Ask agent,Ask agent,Ask agent
502,139632053,"£1,500,000",Added on 07/09/2023,"Bushey Way, Beckenham","LANGLEY CATCHMENT Alan de Maid are proud to present this beautifully finished four bedroom detached family property set in a prime residential location. The property boasts front dining room, rear lounge with bi-folds opening onto the south facing garden, study, fitted kitchen, utility room...",,3,4,,Freehold,[],"[['West Wickham ', '0.6 miles'], ['Eden Park ', '0.8 miles'], ['Hayes ', '1.2 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: TBC
503,131797154,"£220,000",Reduced on 07/09/2023,"Whitworth Road, London, SE25","A bright, spacious and well-presented one bedroom ground floor apartment offered for sale with no onward chain. Affording a variety of features, this delightful property includes a share in the freehold, lease of over 900 years, off-street parking and communal gardens. Prese...",Apartment,1,1,,Share of Freehold,"['One bedroom apartment', 'Ground floor', 'Share in the freehold', 'Off-street parking', 'No onward chain']","[['Norwood Junction ', '0.3 miles'], ['Selhurst ', '0.6 miles'], ['Harrington Rd Tram Stop0.9 miles']]","['nationalrail', 'nationalrail', 'tramlink']",Ask agent,Ask agent,Ask agent,Ask agent
504,139631153,"£325,000",Added on 07/09/2023,"Anerley Park , Anerley, London, SE20",A light and bright first floor purpose built apartment forming a smart low-rise modern development on a sought after road nearby Crystal Palace Park.,Apartment,1,1,,Leasehold,"['Well presented throughout', 'No onward chain', 'Allocated off street parking', 'Balcony', 'Open-plan kitchen', 'Recently modernised bathroom', 'First floor', 'Secure entry']","[['Anerley ', '0.1 miles'], ['Penge West ', '0.4 miles'], ['Crystal Palace ', '0.4 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: B
505,139630850,"£415,000",Added on 07/09/2023,"Junction Road, South Croydon","A stunning, much sought location in South Croydon is this 2 double bedroom, beautifully presented terraced turn of the century house.",Terraced,1,2,,Freehold,"['2 Double bedrooms', 'An upstairs bathroom and downstairs toilet', 'Close to South Croydon train station', 'Private rear garden', 'Bus routes and shops close by', 'No upward chain']","[['South Croydon ', '0.2 miles'], ['Lloyd Park Tram Stop0.7 miles'], ['Sanderstead ', '0.8 miles']]","['nationalrail', 'tramlink', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: C
506,139630391,"£325,000",Added on 07/09/2023,"Knapdale Close, Forest Hill, London, SE23","A well presented two double bedroom, ground floor apartment for sale on Knapdale Close.",Apartment,1,2,,Leasehold,"['Two double bedrooms', 'Separate fitted kitchen', 'Spacious bright reception room', 'Modern bathroom suite', '0.6 miles to Forest Hill Station', 'Chain free', '0.3 miles to Horniman Museum and Gardens']","[['Forest Hill ', '0.4 miles'], ['Sydenham ', '0.8 miles'], ['Sydenham Hill ', '0.9 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: B
507,139630145,"£600,000",Added on 07/09/2023,"Beck Lane, Beckenham, BR3","The Address are delighted to market this beautifully presented, three bedroom house to the market, CHAIN FREE.",Semi-Detached,1,3,,Freehold,"['Chain Free - Three bedroom semi detached house backing allotments', 'Off street parking for two/ three cars', 'Good sized through lounge with bifold doors into the rear garden', 'Two double bedrooms plus a good sized single bedroom', 'Well appointed kitchen with views over the rear garden', 'Small rear porch plus downstairs WC', 'Large family bathroom with double walk in shower and bath with shower attachment', 'Close to Churchfields School', '0.5m to Birkbeck Train Station & 0.6m to Clock House Train Station 0.7m to Kent House Station']","[['Avenue Road Tram Stop0.2 miles'], ['Birkbeck ', '0.3 miles'], ['Elmers End ', '0.5 miles']]","['tramlink', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E
508,139629785,"£375,000",Added on 07/09/2023,"Beeches Close, Anerley","Rarely available is this one bedroom freehold house with private garden, located in a quiet private residential cul de sac in Anerley. Offered chain free and has allocated parking.",Terraced,1,1,,Freehold,"['Freehold house', 'One bedroom', 'Spacious lounge', 'Kitchen', 'Bathroom', 'Private garden', 'Loft space', 'EPC rating D']","[['Anerley ', '0.3 miles'], ['Birkbeck ', '0.4 miles'], ['Avenue Road Tram Stop0.5 miles']]","['nationalrail', 'nationalrail', 'tramlink']",Ask agent,Ask agent,Ask agent,Ask agent
509,139629521,"£250,000",Reduced on 07/09/2023,"Milton Road, CROYDON, Surrey, CR0","*GUIDE PRICE £250,000 - £260,000* TWO BEDROOM SPLIT LEVEL MAISONETTE, MILTON ROAD, CROYDON. Offering a similar feel to a house, this spacious two bedroom period maisonette set over two floors requires refurbishment. Benefits from two bright double bedrooms, gener...",Maisonette,1,2,,Share of Freehold,"['*Fantastic investment opportunity', '*Split level maisonette', '*Two bedrooms', '*Share of the freehold', '*Courtyard style private garden', '*Close to many transport links', '*Buyers Commission May Be Required']","[['Lebanon Road Tram Stop0.5 miles'], ['West Croydon ', '0.5 miles'], ['Wellesley Road Tram Stop0.5 miles']]","['tramlink', 'nationalrail', 'tramlink']",£0 per year,£0,66 years left,Band: B
