,id,price,added_reduced,address,description,price_change_date,price_change_value,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
20,124750808,"£480,000",Reduced on 15/11/2022,"Shepherds Hill, Highgate",A particularly spacious ground floor flat in this small and highly sought after block with secure parking and a private terrace accessed directly from the reception room.,[],[],Flat,1,1,,Leasehold,"['Double Bedroom', 'Kitchen', 'Open Plan Living', 'Terrace', 'Secure Parking', 'On Site Caretaker']","[['Highgate ', '0.4 miles'], ['Archway ', '0.9 miles'], ['Crouch Hill ', '1.0 miles']]",Ask agent,Ask agent,Ask agent,Ask agent
21,130892681,"£479,900",Added on 19/01/2023,"Muswell Hill, London, N10","77 Muswell Hill provides the benefits of living in the city of London, combined with the beauty and relaxed atmosphere of village life. This prestigious development consists of 47 luxury apartments set in the heart of the village.",[],[],Flat,1,1,,Leasehold,"['One bedroom', 'private balcony', 'use of gym', 'conceirge', 'communal', 'close to the Broadway.']","[['Highgate ', '0.9 miles'], ['East Finchley ', '1.0 miles'], ['Alexandra Palace ', '1.1 miles']]",£0 per year,£0,Ask agent,Band: TBC
22,138420098,"£475,000",Reduced on 03/08/2023,"Stanhope Road, Highgate",This spacious 800 sq ft apartment has good storage facilities and a large reception room along with two double bedrooms a separate kitchen and a well-presented communal areas.,[],[],Flat,1,2,,Leasehold,"['Two Bedrooms', 'Reception Room', 'Separate Kitchen', 'Bathroom', 'Communal Gardens', 'External Storage']","[['Highgate ', '0.4 miles'], ['Archway ', '0.8 miles'], ['Crouch Hill ', '1.0 miles']]",Ask agent,Ask agent,Ask agent,Ask agent
23,135294797,"£475,000",Added on 25/05/2023,"Great North Road, London","Adam Hayes Estate Agents are now in receipt of an offer for the sum of £475,000 for Flat 4 Highgate Edge, Great North Road, London, N2 0NT. Anyone wishing to place an offer on this property should contact Adam Hayes Estate Agents at 158 High Road, East Finchley, London N2 9AS or on ...",[],[],Apartment,1,2,790 sq. ft.(73 sq. m.),Share of Freehold,"['Two Bedrooms', 'Chain Free', 'Investment Opportunity', 'Garage', 'First Floor', 'Communal Gardens']","[['East Finchley ', '0.5 miles'], ['Highgate ', '0.5 miles'], ['Golders Green ', '1.7 miles']]",£75 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,Ask agent,968 years left,Band: E
24,86039892,"£460,000",Added on 16/02/2023,"Great North Road, East Finchley, London, N2",Located on the second floor of this art deco style block is this bright and airy two double bedroom flat. Doran Manor is situated equidistant to Highgate and East Finchley Northern Line underground stations.,[],[],Apartment,1,2,,Leasehold,"['Purpose-built', 'Leasehold', 'Second floor', 'Double glazed', '2 double bedrooms', 'Separate W/C', 'Communal gardens', 'Bathroom', 'Service exit', 'Residents parking']","[['East Finchley ', '0.4 miles'], ['Highgate ', '0.6 miles'], ['Archway ', '1.6 miles']]",£0 per year,£1928.56,146 years left,Band: C
25,134670113,"£450,000",Reduced on 31/05/2023,"Aylmer Parade, Aylmer Road, London","This immaculately presented, recently refurbished and surprisingly spacious two bedroom duplex apartment, is ideal for young professionals, first time buyers or as a buy to let investment and - located on Aylmer Parade, within easy reach of a host of local amenities in East Finchley including a g...",[],[],Apartment,2,2,,Leasehold,"['Beautifully Presented Two Bedroom Duplex Apartment', 'Spacious Loft Bedroom', 'Light and Spacious Throughout', 'Modern Kitchen', 'Two Bathrooms', 'Excellent Transport Links', 'Close to Local Amenities', 'Private Storage Shed', 'Permit Parking Available']","[['East Finchley ', '0.5 miles'], ['Highgate ', '0.6 miles'], ['Archway ', '1.5 miles']]",£0 per year,£578.83,153 years left,Band: B
26,133733888,"£450,000",Added on 17/04/2023,"Princes Avenue, Muswell Hill, London, N10",A two bedroom split level period conversion located just off of Muswell Hill Broadway on one of the area's popular Royal Roads.,[],[],Apartment,1,2,,Leasehold,"['2 Bedrooms', '1 Reception room', 'Open-plan kitchen', '1 Bathroom', '1st & 2nd floor', 'Chain free', 'Semi-Detached', 'Wooden flooring', 'Period features', 'Central Broadway location']","[['East Finchley ', '0.9 miles'], ['Highgate ', '0.9 miles'], ['Alexandra Palace ', '1.2 miles']]",£0 per year,£1650,114 years left,Band: D
27,123722477,"£450,000",Reduced on 08/03/2023,"Causton Road,  Highgate, London, N6",AVAILABLE AGAIN DUE TO CHAIN BREAK Situated in this highly desirable and convenient location is this level ground floor One bedroom converted Garden apartment within this imposing Victorian mansion. This charming apartment also benefits from delightful communal gardens and is located within 500...,[],[],Apartment,1,1,,Share of Freehold,['Fitted Double Bedroom * Delightful Living Room with Direct Access to Communal Gardens * Fitted Kitchen * Private Screened Landscaped Southerly Front Garden * Tastefully Presented * Highly (truncated)'],"[['Highgate ', '0.3 miles'], ['Archway ', '0.6 miles'], ['Upper Holloway ', '0.9 miles']]",£50 per year,£1200,994 years left,Band: C
28,138100628,"£450,000",Added on 31/07/2023,"Fortis Green, East Finchley, N2","Rarely available. A bright and airy two bedroom first floor flat, converted from an attractive period end of terrace house and situated in this highly favoured location in the heart of East Finchley. Located within 0.2 miles of East Finchley tube, cafes and restaurants, as ...",[],[],Flat,1,2,,Leasehold,"['Attractive Period Property', 'Large Reception Room', 'Two Double Bedrooms', 'Gas Central Heating', 'Double Glazed Windows', 'Sought After Location', 'Chain Free', 'Long Lease']","[['East Finchley ', '0.2 miles'], ['Highgate ', '1.1 miles'], ['Finchley Central ', '1.5 miles']]",Ask agent,Ask agent,Ask agent,Ask agent
29,136958825,"£445,000",Added on 05/07/2023,"Market Place, London, N2","Prickett and Ellis are proud to present this chain free two-bedroom first floor flat, located a short walk from the local amenities of East Finchley Highstreet and East Finchley station. EPC - C ",[],[],Apartment,1,2,,Ask agent,"['TWO DOUBLE BEDROOM EDWARDIAN CONVERSION', 'CHAIN FREE', '0.1 FROM LOCAL AMENITIES', '0.3 MILES FROM EAST FINCHLEY STATION', 'LARGE LIVING AREA', 'GREAT OPPURTUNITY FOR FIRST TIME BUYERS']","[['East Finchley ', '0.2 miles'], ['Highgate ', '1.2 miles'], ['Finchley Central ', '1.3 miles']]",Ask agent,Ask agent,Ask agent,Band: TBC
