,id,price,price_change_date,price_change_value
38,139524869,"£550,000",['05/09/2023'],"['Initial entry found: £550,000']"
39,140145797,"£550,000",['19/09/2023'],"['Initial entry found: £550,000']"
40,139878884,"£550,000",['13/09/2023'],"['Initial entry found: £550,000']"
41,134110415,"£545,000","['30/05/2023', '26/04/2023']","['Price changed from £560,000 to £545,000', 'Initial entry found: £560,000']"
42,139148585,"£545,000",['26/08/2023'],"['Initial entry found: £545,000']"
43,140219531,"£545,000",['20/09/2023'],"['Initial entry found: £545,000']"
44,133692359,"£540,000",['17/04/2023'],"['Initial entry found: £540,000']"
45,136495961,"£535,000",['23/06/2023'],"['Initial entry found: £535,000']"
46,134319992,"£535,000","['03/07/2023', '02/05/2023']","['Price changed from £550,000 to £535,000', 'Initial entry found: £550,000']"
47,134968082,"£535,000",['18/05/2023'],"['Initial entry found: £535,000']"
48,138852377,"£525,000",['19/08/2023'],"['Initial entry found: £525,000']"
49,138575102,"£525,000",['12/08/2023'],"['Initial entry found: £525,000']"
50,135414338,"£550,000","['22/06/2023', '29/05/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
51,136219277,"£525,000","['21/07/2023', '17/06/2023']","['Price changed from £540,000 to £525,000', 'Initial entry found: £540,000']"
52,132932282,"£525,000",['24/03/2023'],"['Initial entry found: £525,000']"
53,131905862,"£525,000",['22/02/2023'],"['Initial entry found: £525,000']"
54,138255050,"£525,000","['21/08/2023', '03/08/2023']","['Price changed from £575,000 to £525,000', 'Initial entry found: £575,000']"
55,138945719,"£525,000",['22/08/2023'],"['Initial entry found: £525,000']"
56,140316713,"£525,000",['22/09/2023'],"['Initial entry found: £525,000']"
57,135361100,"£525,000","['20/09/2023', '28/06/2023', '26/05/2023']","['Price changed from £550,000 to £525,000', 'Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
58,124144268,"£525,000","['08/03/2023', '29/08/2022', '21/06/2022']","['Price changed from £500,000 to £525,000', 'Price changed from £550,000 to £500,000', 'Initial entry found: £550,000']"
59,135668207,"£525,000",['03/06/2023'],"['Initial entry found: £525,000']"
60,138369752,"£525,000",['18/08/2023'],"['Initial entry found: £525,000']"
61,133270796,"£525,000",['04/04/2023'],"['Initial entry found: £525,000']"
62,135151136,"£525,000","['12/09/2023', '16/06/2023', '23/05/2023']","['Price changed from £550,000 to £525,000', 'Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
63,136319477,"£525,000",['20/06/2023'],"['Initial entry found: £525,000']"
64,137654099,"£525,000",['20/07/2023'],"['Initial entry found: £525,000']"
65,136874555,"£525,000",['03/07/2023'],"['Initial entry found: £525,000']"
66,137654105,"£525,000",['11/08/2023'],"['Initial entry found: £525,000']"
67,137654117,"£525,000",['24/07/2023'],"['Initial entry found: £525,000']"
68,134039558,"£525,000","['05/08/2023', '22/05/2023', '24/04/2023']","['Price changed from £550,000 to £525,000', 'Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
69,134991815,"£525,000",['22/05/2023'],"['Initial entry found: £525,000']"
70,126701867,"£524,200","['03/01/2023', '01/11/2022', '05/09/2022']","['Price changed from £535,000 to £524,200', 'Price changed from £550,000 to £535,000', 'Initial entry found: £550,000']"
71,130890764,"£515,000",['19/01/2023'],"['Initial entry found: £515,000']"
72,139118615,"£515,000",['25/08/2023'],"['Initial entry found: £515,000']"
73,135318488,"£515,000",['26/05/2023'],"['Initial entry found: £515,000']"
74,138807392,"£510,000","['30/08/2023', '18/08/2023']","['Price changed from £530,000 to £510,000', 'Initial entry found: £530,000']"
75,140219531,"£545,000",['20/09/2023'],"['Initial entry found: £545,000']"
76,139963886,"£500,000",['14/09/2023'],"['Initial entry found: £500,000']"
77,133693271,"£500,000",['17/04/2023'],"['Initial entry found: £500,000']"
78,140520905,"£500,000",['27/09/2023'],"['Initial entry found: £500,000']"
79,118668596,"£500,000","['25/09/2022', '13/01/2022']","['Price changed from £535,000 to £500,000', 'Initial entry found: £535,000']"
80,139835981,"£500,000",['12/09/2023'],"['Initial entry found: £500,000']"
81,139585508,"£500,000",['06/09/2023'],"['Initial entry found: £500,000']"
82,138046208,"£500,000",['29/07/2023'],"['Initial entry found: £500,000']"
83,137654078,"£500,000",['25/07/2023'],"['Initial entry found: £500,000']"
84,138575141,"£500,000",['12/08/2023'],"['Initial entry found: £500,000']"
85,137246294,"£500,000",['12/07/2023'],"['Initial entry found: £500,000']"
86,136693619,"£500,000",['03/07/2023'],"['Initial entry found: £500,000']"
87,133248425,"£500,000",['04/04/2023'],"['Initial entry found: £500,000']"
88,137654060,"£500,000",['21/07/2023'],"['Initial entry found: £500,000']"
89,138336464,"£500,000",['05/08/2023'],"['Initial entry found: £500,000']"
90,137922818,"£500,000","['15/08/2023', '26/07/2023']","['Price changed from £525,000 to £500,000', 'Initial entry found: £525,000']"
91,138497405,"£500,000","['19/09/2023', '10/08/2023']","['Price changed from £515,000 to £500,000', 'Initial entry found: £515,000']"
92,86069073,"£500,000",['28/02/2023'],"['Initial entry found: £500,000']"
93,133430093,"£500,000",['08/04/2023'],"['Initial entry found: £500,000']"
94,132866189,"£500,000","['05/07/2023', '30/05/2023', '27/04/2023', '29/03/2023']","['Price changed from £525,000 to £500,000', 'Price changed from £550,000 to £525,000', 'Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
95,135781259,"£500,000",['06/06/2023'],"['Initial entry found: £500,000']"
96,135768461,"£500,000","['10/08/2023', '18/07/2023', '06/06/2023']","['Price changed from £515,000 to £500,000', 'Price changed from £529,950 to £515,000', 'Initial entry found: £529,950']"
97,138922526,"£500,000",['21/08/2023'],"['Initial entry found: £500,000']"
98,140329391,"£500,000",['22/09/2023'],"['Initial entry found: £500,000']"
99,134143478,"£500,000","['16/06/2023', '12/05/2023', '26/04/2023']","['Price changed from £550,000 to £500,000', 'Price changed from £600,000 to £550,000', 'Initial entry found: £600,000']"
100,140219531,"£545,000",['20/09/2023'],"['Initial entry found: £545,000']"
101,130341239,"£500,000","['09/02/2023', '03/01/2023']","['Price changed from £525,000 to £500,000', 'Initial entry found: £525,000']"
102,133249475,"£500,000",['04/04/2023'],"['Initial entry found: £500,000']"
103,137525855,"£500,000","['21/08/2023', '18/07/2023']","['Price changed from £525,000 to £500,000', 'Initial entry found: £525,000']"
104,139508513,"£500,000",['05/09/2023'],"['Initial entry found: £500,000']"
105,138784370,"£500,000",['17/08/2023'],"['Initial entry found: £500,000']"
106,137654090,"£500,000",['18/08/2023'],"['Initial entry found: £500,000']"
107,137069459,"£500,000",['07/07/2023'],"['Initial entry found: £500,000']"
108,139254497,"£500,000",['30/08/2023'],"['Initial entry found: £500,000']"
109,137654096,"£500,000",['20/07/2023'],"['Initial entry found: £500,000']"
110,139476830,"£500,000",['04/09/2023'],"['Initial entry found: £500,000']"
111,134646038,"£500,000",['10/05/2023'],"['Initial entry found: £500,000']"
112,134614412,"£500,000",['10/05/2023'],"['Initial entry found: £500,000']"
113,137754116,"£500,000",['22/07/2023'],"['Initial entry found: £500,000']"
114,133092254,"£500,000",['30/03/2023'],"['Initial entry found: £500,000']"
115,132123578,"£500,000",['01/03/2023'],"['Initial entry found: £500,000']"
116,133430063,"£500,000","['30/05/2023', '08/04/2023']","['Price changed from £525,000 to £500,000', 'Initial entry found: £525,000']"
117,137638751,"£499,950",['20/07/2023'],"['Initial entry found: £499,950']"
118,138600632,"£499,000",['14/08/2023'],"['Initial entry found: £499,000']"
119,136094867,"£495,000",['14/06/2023'],"['Initial entry found: £495,000']"
120,134500097,"£490,000","['20/06/2023', '05/05/2023']","['Price changed from £500,000 to £490,000', 'Initial entry found: £500,000']"
121,139732469,"£489,995",['09/09/2023'],"['Initial entry found: £489,995']"
122,135180659,"£485,000",['23/05/2023'],"['Initial entry found: £485,000']"
123,138415166,"£485,000","['22/09/2023', '08/08/2023']","['Price changed from £500,000 to £485,000', 'Initial entry found: £500,000']"
124,134856125,"£485,000","['26/05/2023', '16/05/2023']","['Price changed from £500,000 to £485,000', 'Initial entry found: £500,000']"
125,130385318,"£350,000","['25/02/2023', '04/01/2023']","['Price changed from £360,000 to £350,000', 'Initial entry found: £360,000']"
126,136004531,"£485,000",['21/06/2023'],"['Initial entry found: £485,000']"
127,131683121,"£480,000","['02/08/2023', '11/05/2023', '19/04/2023', '24/03/2023', '14/02/2023']","['Price changed from £500,000 to £480,000', 'Price changed from £525,000 to £500,000', 'Price changed from £530,000 to £525,000', 'Price changed from £550,000 to £530,000', 'Initial entry found: £550,000']"
128,124750808,"£480,000","['15/11/2022', '27/07/2022', '07/07/2022']","['Price changed from £490,000 to £480,000', 'Price changed from £500,000 to £490,000', 'Initial entry found: £500,000']"
129,130695407,"£480,000",['16/01/2023'],"['Initial entry found: £480,000']"
130,134557616,"£477,500",['08/05/2023'],"['Initial entry found: £477,500']"
131,139248005,"£475,000",['31/08/2023'],"['Initial entry found: £475,000']"
132,135740858,"£475,000",['06/06/2023'],"['Initial entry found: £475,000']"
133,132078095,"£475,000","['28/03/2023', '28/02/2023']","['Price changed from £490,000 to £475,000', 'Initial entry found: £490,000']"
134,139001078,"£475,000",['23/08/2023'],"['Initial entry found: £475,000']"
135,139369196,"£475,000",['01/09/2023'],"['Initial entry found: £475,000']"
136,132078422,"£475,000",['28/02/2023'],"['Initial entry found: £475,000']"
137,134991353,"£475,000",['22/05/2023'],"['Initial entry found: £475,000']"
138,138260201,"£475,000",['03/08/2023'],"['Initial entry found: £475,000']"
139,136924466,"£475,000","['09/08/2023', '04/07/2023']","['Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']"
140,135969005,"£475,000","['26/07/2023', '10/06/2023']","['Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']"
141,137654054,"£475,000",['20/07/2023'],"['Initial entry found: £475,000']"
142,138369713,"£475,000",['19/08/2023'],"['Initial entry found: £475,000']"
143,138420098,"£475,000",['08/08/2023'],"['Initial entry found: £475,000']"
144,134329442,"£475,000",['02/05/2023'],"['Initial entry found: £475,000']"
145,134801648,"£475,000","['20/07/2023', '15/05/2023']","['Price changed from £495,000 to £475,000', 'Initial entry found: £495,000']"
146,131726906,"£475,000","['27/06/2023', '13/03/2023', '15/02/2023']","['Price changed from £500,000 to £475,000', 'Price changed from £550,000 to £500,000', 'Initial entry found: £550,000']"
147,135904136,"£475,000",['09/06/2023'],"['Initial entry found: £475,000']"
148,139500947,"£475,000",['05/09/2023'],"['Initial entry found: £475,000']"
149,130459667,"£475,000","['27/03/2023', '21/01/2023', '06/01/2023']","['Price changed from £490,000 to £475,000', 'Price changed from £499,999 to £490,000', 'Initial entry found: £499,999']"
150,136414742,"£475,000",['22/06/2023'],"['Initial entry found: £475,000']"
151,132517739,"£475,000","['27/06/2023', '13/03/2023']","['Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']"
152,133316966,"£475,000","['27/04/2023', '05/04/2023']","['Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']"
153,137619368,"£470,000",['20/07/2023'],"['Initial entry found: £470,000']"
154,138103799,"£465,000",['19/08/2023'],"['Initial entry found: £465,000']"
155,133908038,"£460,000","['05/07/2023', '02/05/2023', '21/04/2023']","['Price changed from £465,000 to £460,000', 'Price changed from £475,000 to £465,000', 'Initial entry found: £475,000']"
156,86254551,"£460,000",['05/07/2023'],"['Initial entry found: £460,000']"
157,133370051,"£460,000","['26/06/2023', '21/06/2023', '11/04/2023']","['Price changed from £450,000 to £460,000', 'Price changed from £460,000 to £450,000', 'Initial entry found: £460,000']"
158,137800499,"£460,000",['05/08/2023'],"['Initial entry found: £460,000']"
159,135969071,"£460,000","['13/09/2023', '10/06/2023']","['Price changed from £475,000 to £460,000', 'Initial entry found: £475,000']"
160,139121297,"£460,000",['25/08/2023'],"['Initial entry found: £460,000']"
161,138348761,"£460,000",['06/08/2023'],"['Initial entry found: £460,000']"
162,123722477,"£450,000","['08/03/2023', '07/07/2022', '27/05/2022']","['Price changed from £475,000 to £450,000', 'Price changed from £495,000 to £475,000', 'Initial entry found: £495,000']"
163,137955140,"£450,000",['27/07/2023'],"['Initial entry found: £450,000']"
164,133955813,"£450,000","['20/07/2023', '19/05/2023', '21/04/2023']","['Price changed from £475,000 to £450,000', 'Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']"
165,137731793,"£450,000",['21/07/2023'],"['Initial entry found: £450,000']"
166,135995594,"£450,000","['10/07/2023', '12/06/2023']","['Price changed from £500,000 to £450,000', 'Initial entry found: £500,000']"
167,131919989,"£450,000","['16/05/2023', '22/02/2023']","['Price changed from £500,000 to £450,000', 'Initial entry found: £500,000']"
168,134485553,"£450,000",['05/05/2023'],"['Initial entry found: £450,000']"
169,137234585,"£450,000","['14/08/2023', '12/07/2023']","['Price changed from £499,995 to £450,000', 'Initial entry found: £499,995']"
170,139303193,"£450,000",['31/08/2023'],"['Initial entry found: £450,000']"
171,136638062,"£450,000",['27/06/2023'],"['Initial entry found: £450,000']"
172,135617417,"£450,000",['02/06/2023'],"['Initial entry found: £450,000']"
173,139835630,"£450,000",['12/09/2023'],"['Initial entry found: £450,000']"
174,86037918,"£450,000",['16/02/2023'],"['Initial entry found: £450,000']"
175,140251853,"£450,000",['21/09/2023'],"['Initial entry found: £450,000']"
176,133557380,"£450,000",['13/04/2023'],"['Initial entry found: £450,000']"
177,139879121,"£450,000",['13/09/2023'],"['Initial entry found: £450,000']"
178,115107047,"£450,000","['15/06/2023', '20/10/2021']","['Price changed from £475,000 to £450,000', 'Initial entry found: £475,000']"
179,139449008,"£450,000",['04/09/2023'],"['Initial entry found: £450,000']"
180,137550296,"£450,000",['18/07/2023'],"['Initial entry found: £450,000']"
181,137343731,"£450,000",['14/07/2023'],"['Initial entry found: £450,000']"
182,137703770,"£450,000","['09/08/2023', '21/07/2023']","['Price changed from £475,000 to £450,000', 'Initial entry found: £475,000']"
183,130829621,"£450,000",['18/01/2023'],"['Initial entry found: £450,000']"
184,137599571,"£450,000",['19/07/2023'],"['Initial entry found: £450,000']"
185,138137936,"£450,000",['01/08/2023'],"['Initial entry found: £450,000']"
186,139225265,"£450,000","['20/09/2023', '29/08/2023']","['Price changed from £475,000 to £450,000', 'Initial entry found: £475,000']"
187,86185359,"£450,000","['26/06/2023', '19/06/2023', '13/06/2023']","['Price changed from £495,000 to £450,000', 'Price changed from £550,000 to £495,000', 'Initial entry found: £550,000']"
188,140125961,"£450,000",['19/09/2023'],"['Initial entry found: £450,000']"
189,139018733,"£450,000",['23/08/2023'],"['Initial entry found: £450,000']"
190,132190964,"£450,000","['18/04/2023', '08/03/2023', '03/03/2023']","['Price changed from £475,000 to £450,000', 'Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']"
